순위,곡명,아티스트,앨범,좋아요
1,Good Goodbye,화사 (HWASA)화사 (HWASA),Good Goodbye,"총건수72,855"
2,타임캡슐,다비치다비치,타임캡슐,"총건수43,987"
3,Blue Valentine,NMIXXNMIXX,Blue Valentine,"총건수94,132"
4,ONE MORE TIME,ALLDAY PROJECTALLDAY PROJECT,ONE MORE TIME,"총건수40,148"
5,첫 눈,EXOEXO,겨울 스페셜 앨범 '12월의 기적 (Miracles In December)',"총건수311,633"
6,Golden,"HUNTR/X,EJAE,AUDREY NUNA,REI AMI,KPop Demon Hunters CastHUNTR/X,EJAE,AUDREY NUNA,REI AMI,KPop Demon Hunters Cast",KPop Demon Hunters (Soundtrack from the Netflix Film),"총건수187,079"
7,SPAGHETTI (feat. j-hope of BTS),"LE SSERAFIM (르세라핌),j-hopeLE SSERAFIM (르세라핌),j-hope",SPAGHETTI,"총건수34,441"
8,Drowning,WOODZWOODZ,OO-LI,"총건수272,082"
9,멸종위기사랑,이찬혁이찬혁,EROS,"총건수63,884"
10,달리 표현할 수 없어요,로이킴로이킴,달리 표현할 수 없어요,"총건수27,668"
11,어제보다 슬픈 오늘,우디 (Woody)우디 (Woody),어제보다 슬픈 오늘,"총건수72,765"
12,뛰어(JUMP),BLACKPINKBLACKPINK,뛰어(JUMP),"총건수88,533"
13,모르시나요(PROD.로코베리),조째즈조째즈,모르시나요,"총건수100,365"
14,FAMOUS,ALLDAY PROJECTALLDAY PROJECT,FAMOUS,"총건수124,378"
15,Soda Pop,"KPop Demon Hunters Cast,Danny Chung,Saja Boys,Andrew Choi,Neckwav,Kevin Woo,samUIL LeeKPop Demon Hunters Cast,Danny Chung,Saja Boys,Andrew Choi,Neckwav,Kevin Woo,samUIL Lee",KPop Demon Hunters (Soundtrack from the Netflix Film),"총건수114,288"
16,사랑하게 될 거야,한로로한로로,이상비행,"총건수62,718"
17,한번 더 이별,이창섭이창섭,한번 더 이별 (첫사랑 엔딩 X 이창섭),"총건수28,878"
18,시작의 아이 ❍,"박다혜,마크툽 (MAKTUB)박다혜,마크툽 (MAKTUB)",시작의 아이 ❍ ハジマリのコ Starting With You : ♡,"총건수61,642"
19,"어떻게 이별까지 사랑하겠어, 널 사랑하는 거지",AKMU (악뮤)AKMU (악뮤),항해,"총건수490,291"
20,내게 사랑이 뭐냐고 물어본다면,로이킴로이킴,내게 사랑이 뭐냐고 물어본다면,"총건수88,529"
21,"HOME SWEET HOME (feat. 태양, 대성)",G-DRAGONG-DRAGON,"HOME SWEET HOME (feat. 태양, 대성)","총건수224,961"
22,toxic till the end,로제 (ROSÉ)로제 (ROSÉ),rosie,"총건수136,434"
23,너에게 닿기를,10CM10CM,너에게 닿기를,"총건수138,285"
24,IRIS OUT,Kenshi YonezuKenshi Yonezu,IRIS OUT,"총건수63,085"
25,천상연,이창섭이창섭,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),"총건수140,383"
26,너의 모든 순간,성시경성시경,별에서 온 그대 OST Part.7,"총건수314,405"
27,XOXZ,IVE (아이브)IVE (아이브),IVE SECRET,"총건수48,882"
28,운명 (2025),"먼데이 키즈,이이경먼데이 키즈,이이경",먼키의 발자국 Vol.1 With 이이경,"총건수31,883"
29,Rich Man,aespaaespa,Rich Man - The 6th Mini Album,"총건수48,343"
30,Hollywood Action,BOYNEXTDOORBOYNEXTDOOR,The Action,"총건수47,585"
31,나는 반딧불,황가람황가람,나는 반딧불,"총건수155,380"
32,사랑은 늘 도망가,임영웅임영웅,신사와 아가씨 OST Part.2,"총건수234,647"
33,Whiplash,aespaaespa,Whiplash - The 5th Mini Album,"총건수149,377"
34,청춘만화,이무진이무진,만화 (滿花),"총건수90,521"
35,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴폴킴,'키스 먼저 할까요?' OST Part.3,"총건수438,588"
36,시작의 아이,마크툽 (MAKTUB)마크툽 (MAKTUB),시작의 아이 ハジマリのコ (Starting With You),"총건수81,347"
37,소나기,이클립스 (ECLIPSE)이클립스 (ECLIPSE),선재 업고 튀어 OST Part 1,"총건수190,587"
38,HAPPY,DAY6 (데이식스)DAY6 (데이식스),Fourever,"총건수206,870"
39,오늘만 I LOVE YOU,BOYNEXTDOORBOYNEXTDOOR,오늘만 I LOVE YOU,"총건수172,918"
40,Flower,오반(OVAN)오반(OVAN),교회오빠,"총건수76,184"
41,Never Ending Story,아이유아이유,꽃갈피 셋,"총건수81,133"
42,body,다영 (DAYOUNG)다영 (DAYOUNG),"gonna love me, right?","총건수41,940"
43,like JENNIE,제니 (JENNIE)제니 (JENNIE),Ruby,"총건수101,235"
44,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),너드커넥션 (Nerd Connection)너드커넥션 (Nerd Connection),그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"총건수164,351"
45,APT.,"로제 (ROSÉ),Bruno Mars로제 (ROSÉ),Bruno Mars",APT.,"총건수218,849"
46,가만히 눈을 감고,DK(디셈버)DK(디셈버),가만히 눈을 감고,"총건수16,631"
47,FOCUS,Hearts2Hearts (하츠투하츠)Hearts2Hearts (하츠투하츠),FOCUS - The 1st Mini Album,"총건수25,265"
48,나였으면,"나윤권,도경수(D.O.)나윤권,도경수(D.O.)",나였으면,"총건수13,573"
49,순간을 영원처럼,임영웅임영웅,IM HERO 2,"총건수44,166"
