이미지url,상품명,쿠폰,정가,할인가,할인율(%),리뷰수
"델 2024 인스피론 14 5440 코어7 인텔 14세대, 메탈 아이스블루, 1TB, 16GB, WIN11 Home, DN5440-W003KR",,1247750,948290,24.0,8,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/07/02/20/7/90f2b139-9c14-4337-9977-bd9a4d261b10.jpg
"HP 2025 노트북 14 코어i5 인텔 13세대, Natural Silver, 512GB, 16GB, Free DOS, 14-ep0279TU",,700520,686500,2.0,18,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2584168950971225-40c02c1c-8a72-4a5b-81f1-fe5a039b4450.jpg
"레노버 아이디어패드 슬림 3 14 코어i5 인텔 12세대, ARCTIC GREY, 256GB, 16GB, Free DOS, 83EQ002MKR",,600000,582000,3.0,100,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/34114243701693-d6630e11-812b-45fe-95a7-bbd73823be65.png
"레노버 2024 아이디어패드 슬림 3 15.6 코어I5, 아틱 그레이, 512GB, 16GB, WIN11 Home, 83E60030KR",,899000,872030,3.0,36,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/05/03/14/1/ce62bbdf-ffc7-4ee2-8813-2f6f38ccdf31.jpeg
"레노버 2023 씽크북 15 G5 ABP 15 라이젠5 라이젠 7000 시리즈, 미네랄 그레이, 256GB, 16GB, Free DOS, 21JF0004KR",,613520,601240,2.0,40,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2614861780759915-600e64de-0a6e-4756-850f-e88c023a6477.jpg
"HP 2025 노트북 14 코어i5 인텔 13세대, Natural Silver, 512GB, 16GB, WIN11 Home, 14-ep0279TU",,882520,864860,2.0,18,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2584168950971225-40c02c1c-8a72-4a5b-81f1-fe5a039b4450.jpg
"HP 2025 빅터스 15 코어i5 인텔 13세대 지포스 RTX 3050, Powder Pink, 512GB, 16GB, WIN11 Home, 15-fa2079TX",,1083520,1061840,2.0,11,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/02/04/14/2/85b7d515-e617-4d07-9816-e655c8633126.jpg
"HP 빅터스 15 게이밍 노트북 라이젠5 라이젠 7000 시리즈 지포스 RTX 2050, Mica Silver, 512GB, 8GB, Free DOS, 15-fb1035AX",,848980,806530,5.0,35,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/02/27/15/7/f0a41036-3082-4baf-9fbe-ed02c3e43f42.jpg
"레노버 2023 씽크북 15 G5 ABP 15 라이젠5 라이젠 7000 시리즈, 미네랄 그레이, 256GB, 8GB, Free DOS, 21JF0004KR",,579000,567420,2.0,40,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2616017996589625-b25dd863-3352-47ad-ac2d-e3a5a08e2c39.jpg
"델 2024 인스피론 14 5440 코어7 인텔 14세대, 메탈 아이스블루, 1TB, 16GB, WIN11 Home, DN5440-UB03KR",,1305890,1057770,19.0,8,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2024/07/02/20/7/90f2b139-9c14-4337-9977-bd9a4d261b10.jpg
"HP 2025 빅터스 15 코어i5 인텔 13세대 지포스 RTX 3050, Powder Pink, 512GB, 8GB, WIN11 Home, 15-fa2079TX",,1049000,1028020,2.0,11,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2025/02/04/14/2/85b7d515-e617-4d07-9816-e655c8633126.jpg
"레노버 2022 V15 G3 ABA 15.6 라이젠5 라이젠 5000 시리즈, Iron Gray, 256GB, 4GB, Free DOS, 82TV0001KR",,558050,513400,8.0,856,https://thumbnail.coupangcdn.com/thumbnails/remote/230x230ex/image/retail/images/2610548497227006-5152e11f-bec1-40c4-9961-e66b14954542.jpg
