이미지,제목,평점,평가수,가격
https://image.withstatic.com/295/32/102/6f52bd9340b54ae8bc413e18ec7259e0.png?width=792&height=480&format=webp,★당일특가★ 세인트존스 호텔,9.2,"10,290명 평가","159,495"
https://image.withstatic.com/194/357/461/ccf578228d59481187d11fff79e5af2f.jpg?width=792&height=480&format=webp,스카이베이호텔 경포,9.1,"6,929명 평가","163,860"
https://image.withstatic.com/371/242/92/141062dc7704452fae0c8e1685e4457c.jpg?width=792&height=480&format=webp,정동진 썬크루즈호텔,9.1,"3,219명 평가","176,000"
,강릉 로맨스 인 강문,9.8,67명 평가,"146,800"
,★당일특가★ 신라모노그램 강릉 레지던스,9.5,102명 평가,"234,382"
,★당일특가★ SL 호텔 강릉,9.1,"2,667명 평가","65,736"
,라카이 샌드파인,9.3,"2,558명 평가","150,000"
,★당일특가★ 신라모노그램 강릉 호텔,9.7,58명 평가,"234,382"
,강릉 더원펜션,9.8,487명 평가,"92,000"
,★당일특가★ 호텔 탑스텐,9.2,"1,984명 평가","155,925"
,강릉 경포 오션힐펜션,9.8,"1,522명 평가","184,000"
,강릉 브라운도트-강릉역점,9.8,943명 평가,"22,500"
,호텔 하운드 강릉경포,9.6,207명 평가,"122,760"
,강릉 넘버25-강릉역점,9.8,881명 평가,"50,500"
,강릉 더강릉오션스테이,9.7,694명 평가,"127,000"
,강릉 무아풀빌라,9.7,146명 평가,"238,870"
,경포대 라자 스테이션,9.8,191명 평가,"45,500"
,강릉 더스테이 은파,9.8,141명 평가,"88,000"
,강릉 블리스 가족펜션,9.4,465명 평가,"65,500"
,강릉 경포디슬로펜션,9.9,177명 평가,"80,863"
,경포대 에이제이 호텔,8.8,746명 평가,"29,500"
https://image.withstatic.com/268/339/67/1f1a4ea8adc3458398e25907caf36b1c.jpg?width=792&height=480&format=webp,강릉 쏠하우스 펜션,9.5,197명 평가,"91,550"
https://image.withstatic.com/321/413/293/3ee1535a1bfd4e1a859a880fadd178a7.jpg?width=792&height=480&format=webp,강릉 호텔 보름,9.7,307명 평가,"40,500"
https://image.withstatic.com/452/225/236/d7219af461cc4959b7b79c9a7818f2c9.png?width=792&height=480&format=webp,강릉 파인아트라벨,9.1,"2,018명 평가","109,000"
https://image.withstatic.com/87/377/151/2d516a2c5ef2456aaab3f57341b311ac.jpg?width=792&height=480&format=webp,경포대 호텔 주노,9.4,"1,346명 평가","65,500"
,강릉 더뷰스파펜션,9.8,317명 평가,"169,000"
,경포대 파라다이스,9.2,"2,926명 평가","30,500"
,강릉관광호텔,9.3,"1,211명 평가","102,600"
,강릉 오리아뜰리에풀빌라펜션,9.9,117명 평가,"251,100"
,강릉 까사드마르,9.9,354명 평가,"169,000"
,컨피네스 오션 스위트,9.1,528명 평가,"220,000"
,하이오션 경포,9.3,"1,313명 평가","67,284"
,강릉 루이스 LOUIS 호텔,9.6,"1,507명 평가","30,000"
,강릉 스테이휴,9.8,247명 평가,"139,000"
,경포대 호텔 더 원-THE ONE,9.7,646명 평가,"72,000"
,강릉 르샤트리,9.6,619명 평가,"64,600"
,강릉 경포 서지별담 독채 스테이,10,77명 평가,"460,000"
,강릉 라벨르 호텔 프리미어,9.8,159명 평가,"30,000"
,강릉 라미아까사 풀빌라,9.6,450명 평가,"122,100"
,강릉 에이치에비뉴-강릉역점,9.6,188명 평가,"30,000"
,강릉 언제나소돌펜션,9.8,231명 평가,"140,000"
https://image.withstatic.com/146/478/286/c7cc2bcf3669452fbec51f854a1bac82.jpg?width=792&height=480&format=webp,강릉 라클라우드펜션,9.5,159명 평가,"87,100"
https://image.withstatic.com/221/431/75/4be71539fef04a5398abc434b937f379.jpg?width=792&height=480&format=webp,HOTEL 여기어때 - 경포,9.5,"2,018명 평가","63,500"
https://image.withstatic.com/132/278/331/548fafb4b62f48828f9fe00ccfdc985b.jpg?width=792&height=480&format=webp,경포대 WYNN-윈,8.7,963명 평가,"45,500"
