숙소명,이미지url,도시,상세위치,평점,리뷰수,정가,할인가,1박표시
★당일특가★ 세인트존스 호텔,https://image.withstatic.com/295/32/102/6f52bd9340b54ae8bc413e18ec7259e0.png?width=792&height=480&format=webp,강릉시,강릉 강문해변 앞,9.2,"10,287","352,000","225,292",/1박
스카이베이호텔 경포,https://image.withstatic.com/194/357/461/ccf578228d59481187d11fff79e5af2f.jpg?width=792&height=480&format=webp,강릉시,강문해변 차량 2분,9.1,"6,925","400,000","288,685",/1박
정동진 썬크루즈호텔,https://image.withstatic.com/371/242/92/141062dc7704452fae0c8e1685e4457c.jpg?width=792&height=480&format=webp,강릉시,정동진역 차량 5분,9.1,"3,217",정보 없음,"330,000",/1박
신라모노그램 강릉 레지던스,정보 없음,강릉시,강문해변 차량 5분,9.5,102,정보 없음,"385,250",/1박
★당일특가★ SL 호텔 강릉,정보 없음,강릉시,주문진터미널 차량 4분,9.1,"2,664","300,000","159,923",/1박
라카이 샌드파인,정보 없음,강릉시,경포해변 도보 1분,9.3,"2,557","980,000","640,000",/1박
★당일특가★ 신라모노그램 강릉 호텔,정보 없음,강릉시,강문해변 차량 5분,9.7,57,"650,000","459,500",/1박
★당일특가★ 호텔 탑스텐,정보 없음,강릉시,정동진해변 차량 13분,9.2,"1,983","440,000","231,000",/1박
호텔 하운드 강릉경포,정보 없음,강릉시,강릉 송정해수욕장 차량 2분,9.6,205,정보 없음,"246,000",/1박
강릉 파인아트라벨,정보 없음,강릉시,강릉송정해변 도보 5분,9.1,"2,016","250,000","191,000",/1박
강릉관광호텔,정보 없음,강릉시,강릉KTX역 차량 5분,9.3,"1,211","135,000","128,250",/1박
컨피네스 오션 스위트,정보 없음,강릉시,사천진해수욕장 도보 3분,9.1,528,"600,000","314,000",/1박
하이오션 경포,정보 없음,강릉시,경포도립공원 도보 6분,9.3,"1,312","200,000","142,044",/1박
호텔 솔라뷰,정보 없음,강릉시,모래시계공원 차량 2분,8.9,31,"360,000","102,000",/1박
경포 에메랄드 호텔,정보 없음,강릉시,경포해변 도보 1분,9.0,"1,357",정보 없음,"90,000",/1박
노바스테이 강릉,정보 없음,강릉시,주문진항 도보 10분,9.8,9,"250,000","142,500",/1박
브라운도트 강릉교동점,정보 없음,강릉시,강릉역 차량 13분,9.8,39,"250,000","135,500",/1박
강릉씨티호텔,정보 없음,강릉시,강릉역 차량 9분,9.4,"1,195",정보 없음,"183,000",/1박
올림피아 호텔,정보 없음,강릉시,강릉역 차량 3분,8.7,912,"200,000","74,500",/1박
더 홍씨호텔 강릉,정보 없음,강릉시,경포생태저류지 차량 5분,9.5,186,"170,000","139,300",/1박
