순위,종목명,검색비율,현재가,전일비,등락률,거래량,시가,고가,저가,PER,ROE
1,삼성전자,8.61%,"104,700","상승1,300",+1.26%,"12,596,440","104,700","105,500","104,000",21.74,9.03
2,삼성에피스홀딩스,5.45%,"544,000","상승102,000",+23.08%,"3,687,063","454,500","562,000","452,500",N/A,N/A
3,두산에너빌리티,4.47%,"78,500","상승3,500",+4.67%,"3,712,874","78,000","78,700","76,200",-493.71,1.52
4,SK하이닉스,4.46%,"554,000","하락4,000",-0.72%,"2,377,332","550,000","559,000","544,000",11.30,31.06
5,천일고속,4.11%,"399,000","상한가92,000",+29.97%,"111,948","380,000","399,000","353,500",-166.74,-25.33
6,에이비엘바이오,2.26%,"201,000","상승1,100",+0.55%,"757,915","200,000","204,000","195,500",-380.68,-46.01
7,NAVER,1.84%,"246,000","상승3,000",+1.23%,"594,077","246,500","248,500","245,500",17.77,7.90
8,고영,1.83%,"28,825","상승1,075",+3.87%,"15,426,324","27,750","29,450","27,550",111.29,6.68
9,한화에어로스페이스,1.64%,"868,000","상승44,000",+5.34%,"246,592","836,000","879,000","834,000",15.86,53.94
10,한화오션,1.64%,"108,100","상승2,000",+1.89%,"772,845","108,400","109,000","106,700",27.30,11.52
11,인벤티지랩,1.63%,"78,400","상승7,900",+11.21%,"6,607,480","70,600","88,000","67,800",-36.62,-91.93
12,에코프로,1.55%,"93,800",하락300,-0.32%,"2,320,443","94,400","96,200","92,600",-633.78,-12.57
13,스맥,1.45%,"6,895","상승1,235",+21.82%,"40,617,848","6,290","7,120","5,850",85.12,18.73
14,현대건설,1.36%,"70,500","상승4,600",+6.98%,"3,535,453","68,200","70,900","65,800",-29.73,-2.09
15,삼성물산,1.29%,"244,500","상승20,000",+8.91%,"875,384","227,500","252,500","227,500",20.00,6.83
16,펩트론,1.25%,"286,500","하락5,000",-1.72%,"312,804","292,000","294,500","277,000",-462.84,-23.46
17,현대바이오,1.21%,"6,070",상승490,+8.78%,"2,905,237","5,650","6,380","5,530",-25.29,-16.36
18,노타,1.18%,"41,050","하락3,300",-7.44%,"7,717,446","41,500","42,450","37,400",-14.67,41.90
19,카카오,1.17%,"60,800","상승1,300",+2.18%,"2,136,172","59,800","61,300","59,800",115.81,0.56
20,심텍,1.15%,"57,200","상승5,100",+9.79%,"1,599,549","54,400","57,700","52,600",-26.94,-6.63
21,HLB,1.14%,"48,700","하락2,000",-3.94%,"518,801","50,000","50,200","48,500",-29.07,-16.33
22,올릭스,1.12%,"121,400","하락8,600",-6.62%,"942,541","130,000","130,600","121,200",-53.74,-120.11
23,현대차,1.11%,"266,000",보합0,0.00%,"435,572","266,500","267,500","263,000",6.69,12.43
24,디앤디파마텍,1.09%,"96,100","상승2,800",+3.00%,"2,897,603","88,900","97,700","88,700",-118.20,-49.03
25,현대로템,1.04%,"174,700","상승5,200",+3.07%,"594,196","171,000","176,600","170,600",27.53,21.85
26,삼성SDI,1.04%,"303,500","하락1,500",-0.49%,"198,941","305,500","306,250","301,000",-41.58,3.13
27,한신공영,1.02%,"11,050","상한가2,550",+30.00%,"3,650,439","8,500","11,050","8,480",9.52,0.89
28,바이젠셀,0.98%,"7,430",상승530,+7.68%,"5,550,883","6,450","8,480","6,120",-10.66,-21.71
29,휴림로봇,0.97%,"5,610",상승250,+4.66%,"11,609,324","5,380","5,660","5,250",207.78,-5.59
30,한국전력,0.92%,"51,000",상승100,+0.20%,"2,511,469","51,200","51,200","50,200",3.98,9.22
